PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
000rZ,2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,d4e6 d6h2,633,93,100,616,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/seIMDWkD#25,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
001KR,6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,h8g8 f1f8,588,81,100,177,mate mateIn1 middlegame oneMove,https://lichess.org/TaT1Zl7z/black#56,,
002Q2,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,911,78,100,428,cornerMate mate mateIn1 middlegame oneMove,https://lichess.org/yqAJ1jMv#55,,
002X3,6k1/2q2p1p/4pPp1/4P3/p1pP1P2/RrP5/6QP/4B1K1 b - - 0 33,b3a3 g2a8 c7b8 a8b8,970,168,100,10,endgame mate mateIn2 short,https://lichess.org/yshS3bLB/black#66,,
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,564,92,100,601,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,,
005Ep,5kr1/ppR3p1/3R3p/8/1r1n4/8/1P3PPP/2K5 b - - 4 31,d4b5 d6d8,752,84,100,389,endgame mate mateIn1 oneMove,https://lichess.org/ttFEoJfQ/black#62,,
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1964,130,100,35,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49,,
005gP,8/8/3p4/2kP4/1p4P1/2pK4/P7/8 w - - 1 42,g4g5 c5d5 g5g6 d5e6 g6g7 e6f7 a2a4 b4a3 g7g8r f7g8,1705,74,100,635,crushing enPassant endgame pawnEndgame veryLong,https://lichess.org/I76OvKQT#83,,
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13,d1c1 e2c2,838,79,100,272,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/TiwHxq8n#25,Italian_Game Italian_Game_Rousseau_Gambit,
007AH,3r1n2/1bp1bkpp/p1q2n2/1p6/3P4/P1N3B1/1PP2PPP/R2QR1K1 w - - 5 18,d1e2 c6g2,637,83,100,153,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/MCM1Gmz4#35,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation,
007hv,6k1/5p1p/1p4p1/p1bN1p2/2Pq1P2/1P5P/1P1Q2P1/7K w - - 1 32,d2c3 d4g1,1090,75,100,141,endgame master mate mateIn1 oneMove,https://lichess.org/i64FoDh8#63,,
007mr,5k2/p2r3p/1p4pP/3r1q2/3Rp3/2P5/PP3PQ1/K3R3 w - - 0 33,d4e4 d5d1 e1d1 d7d1,661,77,100,191,backRankMate endgame mate mateIn2 short,https://lichess.org/J12UnEgz#65,,
0082f,r4rk1/2q2ppp/3pp3/4Pb1N/pp6/1B4Q1/PPP3PP/1K1RR3 b - - 0 21,a4b3 g3g7,827,79,100,529,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fHfmODEz/black#42,,
008aL,7k/6p1/1r5p/5p2/P2Rp3/4P3/5PPP/6K1 w - - 0 39,a4a5 b6b1 d4d1 b1d1,594,88,100,64,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/j2ECU5ud#77,,
008cl,r3k2r/ppp2p1p/2n1pp2/7q/2PN2b1/2BP1Pb1/PP2B1P1/R2Q1RK1 w kq - 1 16,f3g4 h5h2,908,77,100,477,mate mateIn1 middlegame oneMove,https://lichess.org/K27KSt2D#31,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,
008rw,rn2kb1r/pp2pppp/2p2n2/4q3/8/2N4Q/PPPPBPPP/R1B1K2R b KQkq - 2 8,g7g6 h3c8,871,77,100,468,mate mateIn1 oneMove opening,https://lichess.org/t8GAyoIk/black#16,Scandinavian_Defense Scandinavian_Defense_Main_Line,
009bn,2kr2r1/ppb2ppp/3qbn2/2Np2B1/P7/2P2Q1P/1PB2PP1/R4RK1 w - - 5 18,c5e6 d6h2,578,79,100,390,mate mateIn1 middlegame oneMove,https://lichess.org/Zw4AxPzS#35,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,
00A8H,1k6/1pb2p2/p1p1p3/2P5/PP6/1KB5/4q3/1R1R4 b - - 1 38,c7e5 d1d8 b8a7 b1e1 e2e1 c3e1,2376,84,100,87,clearance crushing endgame long,https://lichess.org/rMR9LIY8/black#76,,
00A9Q,2rq1rk1/1p3p1p/p1pn2p1/P2p4/1P1PnP2/3NP3/5PBP/R1Q3RK w - - 2 22,d3c5 e4f2,659,84,100,431,kingsideAttack master mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/Eek8XUCN#43,,
00AEM,r4rk1/p2q1p1p/1p3Qp1/2p4P/3p4/5R2/PPP2PP1/4R1K1 b - - 0 22,d7d8 e1e7 d8e7 f6e7,1733,74,100,174,crushing endgame short,https://lichess.org/xJtWPx56/black#44,,
00AfZ,2r3kR/Q7/5q2/1brpN3/5Pp1/4P1P1/6K1/1B6 b - - 2 43,f6h8 a7f7,946,76,100,553,master mate mateIn1 middlegame oneMove,https://lichess.org/xSsuq2RP/black#86,,
00BNd,1rr3k1/3bppbp/3p1np1/1B1N4/P2BP3/5P2/P2R2PP/R5K1 b - - 0 21,d7b5 d5e7 g8f8 e7c8,881,78,100,437,advantage fork middlegame short,https://lichess.org/52dQ8pN2/black#42,,
00Bot,8/5p2/p3kP2/8/5r2/R1P5/4P3/4K3 b - - 2 52,f4f6 a3a6 e6e5 a6f6,711,80,100,222,crushing endgame rookEndgame short,https://lichess.org/FWA12ElZ/black#104,,
00C8e,8/5p1k/5Ppb/2p3P1/1p6/8/KB5Q/3q4 b - - 4 58,d1a4 a2b1 a4d1 b2c1,1532,115,100,71,endgame equality pin short,https://lichess.org/YqVcRoWF/black#116,,
00CYP,3rk2r/p1p2pp1/1p6/2pQ1b2/2Pn1P2/8/PP1P1KBq/R1B1R3 b - - 3 25,e8f8 d5d8,721,75,100,273,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/LywFPEls/black#50,,
00Cfq,6k1/ppR2pp1/4p1p1/4P1N1/3r2P1/1P4K1/P6r/8 b - - 5 30,h2e2 c7c8 d4d8 c8d8,631,89,100,511,endgame mate mateIn2 short,https://lichess.org/Mtebd1Gr/black#60,,
00DAs,r5nr/ppp3p1/3bBk1p/4nP2/3p4/8/PPPN1P1P/R1B1K2R b KQ - 1 15,g8e7 d2e4,677,77,100,257,mate mateIn1 middlegame oneMove,https://lichess.org/FKD6drCM/black#30,Scotch_Game Scotch_Game_Other_variations,
00Dib,7k/8/4PKR1/3r4/6P1/6b1/8/8 b - - 2 46,g3h4 g4g5 h4g5 g6g5 d5g5 f6g5,1386,111,100,62,endgame master,https://lichess.org/o6FLrwm5/black#92,,
00ERL,1r2R1k1/2Q4p/pp6/2p2n2/P2P1P1q/2P4P/2PB2b1/4R1K1 b - - 0 29,b8e8 e1e8,827,77,100,208,mate mateIn1 middlegame oneMove,https://lichess.org/Da4ZV4Yw/black#58,,
00EXM,r1n1r1k1/3R1ppp/2p5/5P2/8/1P2B3/P7/5RK1 b - - 6 33,e8e3 d7d8 e3e8 d8e8,620,81,100,72,backRankMate endgame mate mateIn2 short,https://lichess.org/8NAvp1ZS/black#66,,
00EXP,2n3k1/p4ppp/2p1p3/P1NrP3/1n1r4/3N4/5PPP/1R1R2K1 w - - 0 29,d3b4 d4d1 b1d1 d5d1,543,97,100,123,backRankMate mate mateIn2 middlegame short,https://lichess.org/YsjTBKuB#57,,
00Elq,rn3q1r/4pk1p/2pp1np1/p5Q1/1p1PPNP1/5P2/PPP5/R4KNR b - - 0 17,h7h6 g5g6,797,84,100,133,mate mateIn1 middlegame oneMove,https://lichess.org/uNIyIYur/black#34,Pirc_Defense Pirc_Defense_Other_variations,
00F5e,4k2r/1p2b1p1/p1q1Rp2/2p4p/8/1Q4B1/PP3PpP/6K1 b k - 1 22,c6d7 g3d6 d7d6 e6d6,1652,76,100,422,advantage endgame short,https://lichess.org/h4PR749V/black#44,,
00FH6,r6r/1q2bpk1/7p/p1p1pPpn/Pp2P1nP/1P1B1N2/2P3P1/2BRR1QK w - - 7 30,c1b2 h5g3,1042,75,100,614,mate mateIn1 middlegame oneMove,https://lichess.org/ckigRGV8#59,,
00Flp,r2q1rk1/ppp2ppp/2n5/3p2N1/3P4/1B5P/P1Q1bPP1/R1B2RK1 b - - 2 16,e2f1 c2h7,670,80,100,248,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/SXoBpAj9/black#32,Italian_Game Italian_Game_Classical_Variation,
00GoO,r1b2rk1/ppb5/2p4p/2Ppqpp1/1P6/2N1P3/P3BPPP/2RQ1RK1 w - - 0 16,e2d3 e5h2,547,84,100,285,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/sf8dREp6#31,Dutch_Defense Dutch_Defense_Normal_Variation,
00Gv1,8/1pp1r1kp/4r1p1/p1P5/5Q2/P4PPq/1P1R3P/3R2K1 w - - 2 32,d2d8 e6e1 d1e1 e7e1 g1f2 h3f1,991,76,100,127,endgame long mate mateIn3,https://lichess.org/cF0zaKHB#63,,
00Gvp,8/2kn1p2/8/3P4/R7/2P1N3/1r2K3/8 w - - 13 70,e2d3 d7c5 d3d4 c5a4,994,77,100,326,advantage endgame fork short,https://lichess.org/CIq1kOGh#139,,
00HAM,R2q1r1k/1p3Qpp/1n6/3P2pP/2PP2P1/1P6/2K5/5R2 b - - 0 29,d8a8 f7f8 a8f8 f1f8,560,80,100,94,backRankMate endgame mate mateIn2 short,https://lichess.org/BgVpYpY8/black#58,,
00HLP,r4rk1/3nqpp1/4p2p/1p2P3/2pn1Q2/P2B3N/1P3PPP/3R1RK1 w - - 0 24,d3b1 d4e2 g1h1 e2f4,821,85,100,74,crushing fork middlegame short,https://lichess.org/KFAwEaua#47,,
00HXr,2k4r/Q1p2pp1/5n2/3rNq2/4p2p/6Pb/PPP1BP1P/R3R1K1 b - - 1 22,h4g3 a7a8,1478,77,100,282,mate mateIn1 middlegame oneMove,https://lichess.org/c18wDmSc/black#44,,
00Hfa,6k1/5ppp/5Bq1/8/p3R3/P6P/2r2QB1/R5K1 b - - 0 29,c2f2 e4e8,729,77,100,136,endgame mate mateIn1 oneMove,https://lichess.org/FXBTZRsW/black#58,,
00I8g,4rk2/3Rnrp1/8/4Q1p1/7P/6K1/8/8 w - - 0 50,h4g5 e7f5 e5f5 f7f5,937,75,100,467,crushing endgame short,https://lichess.org/5U3wSf5r#99,,
00J9b,4k2r/4bppp/5n2/4N3/3P4/2P3P1/rp1KQP1P/1R5q b k - 1 21,h1b1 e2b5 e8f8 b5b8 f6e8 e5d7 f8g8 b8e8 e7f8 e8f8,1478,109,100,44,middlegame,https://lichess.org/5clAThq4/black#42,,
00KAq,5rr1/3pk1q1/p2Rp3/1pP4p/1P3p2/2P2QP1/1P3P1P/5RK1 w - - 1 26,d6d4 f4g3 d4d7 e7d7 f3b7 d7e8,1373,75,100,302,advantage endgame long,https://lichess.org/bqU1drSK#51,,
00KRo,4r3/pp1b2pp/3k4/2pP1pK1/2P1p2P/2P3P1/P3R3/2B5 b - - 2 26,d6e5 c1f4,889,91,100,40,endgame mate mateIn1 oneMove,https://lichess.org/Ac88Gnjc/black#52,,
00KgF,4r3/p5k1/1p5P/1P2P1K1/8/5N2/8/8 b - - 0 42,g7h7 g5h5 h7g8 f3g5 e8e5 h5g6 e5b5 h6h7,2397,94,100,35,advancedPawn crushing endgame quietMove sacrifice veryLong,https://lichess.org/o4AD9loc/black#84,,
00L76,5rk1/5pp1/4p3/7R/2P5/2n2N2/5r2/2K4R b - - 2 37,g7g6 h5h8 g8g7 h1h7 g7f6 h8f8,1138,76,100,187,crushing deflection endgame long,https://lichess.org/xBILTafH/black#74,,
00LNH,1k2r3/pp2r2p/2pqbpp1/3n4/2BP1p2/5N1P/PPQB1PP1/1K1RR3 w - - 2 22,c4b3 e6f5 c2f5 g6f5,1590,75,100,1638,advantage middlegame pin short,https://lichess.org/gVcbpusg#43,,
00LWX,2r4k/5p2/4pNp1/6Pp/q6P/7r/2PQ4/1RKN4 w - - 2 37,d2b4 c8c2,770,78,100,486,epauletteMate mate mateIn1 middlegame oneMove,https://lichess.org/xNp6E0CA#73,,
00LWa,2r3k1/5ppp/2P5/8/5P2/P5Pn/6BP/R3R1qK w - - 6 32,e1g1 h3f2,853,77,100,192,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/5KscxHkF#63,,
00Lnf,r4knb/1bpp4/p1n1pq2/1p4NQ/3PP3/2N5/PPP2PP1/2KR1B2 b - - 3 15,f6h6 h5f7,970,78,100,170,master mate mateIn1 middlegame oneMove,https://lichess.org/OtbWtwR2/black#30,Modern_Defense Modern_Defense_Standard_Line,
00Lvv,2k2br1/1pprn3/p4p2/4p2Q/4P2P/2NqB3/PP4PK/3R4 b - - 1 22,d3e3 h5e8 d7d8 d1d8,767,76,100,163,mate mateIn2 middlegame queensideAttack short,https://lichess.org/PdJPXqW6/black#44,,
00MQl,r1b2k1r/pp3ppp/2p5/2bp4/3N1Pnq/1B2B3/PPP3PP/RN1QR2K w - - 4 15,d4f3 c5e3 f3h4 g4f2 h1g1 f2d1,1868,75,100,278,advantage discoveredAttack fork long opening sacrifice,https://lichess.org/2FmZuSC3#29,Scotch_Game Scotch_Game_Other_variations,
00Mke,6k1/p4p2/3P4/6pp/P2Q4/5qPP/r4P1K/3R4 w - - 1 42,d6d7 a2f2 d4f2 f3f2 h2h1 f2f3,1173,75,100,423,crushing endgame long,https://lichess.org/cweMVx20#83,,
00Myw,r1b3r1/2q2p1k/1n2p2n/p2pP1NP/P1pP1QP1/1pP5/1P3PB1/R3R1K1 b - - 4 26,h7h8 f4f6 g8g7 f6h6,1416,75,100,1057,crushing fork master middlegame short,https://lichess.org/b9YfMjmI/black#52,,
00NR5,R5k1/3r2pp/3N4/1nP5/6P1/1P3P2/P2K2n1/8 b - - 1 30,d7d8 a8d8,576,84,100,199,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/nRo0kQGD/black#60,,
00PZo,7r/8/3b4/3p4/5PR1/2kN4/4KP2/8 w - - 1 67,f4f5 h8e8 e2f3 c3d3,1110,76,100,468,advantage deflection endgame short,https://lichess.org/XUilKWZg#133,,
00Pc8,rnb2r2/pp4k1/2p3pp/4Np2/2BP4/8/PP4PP/2KRR3 b - - 0 18,b8d7 e5d7 c8d7 e1e7 g7f6 e7d7,1049,76,100,432,advantage clearance fork long middlegame,https://lichess.org/2yTBJXpZ/black#36,Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack,
00Q4m,5r2/1b3k2/1q4p1/p3Pp1p/2pn1P1P/4Q1P1/P6K/R1R2B2 w - - 2 34,f1g2 d4f3 e3f3 b7f3,1114,77,100,790,advantage middlegame short,https://lichess.org/LOKLTnN2#67,,
00QOp,4r3/pp2rkp1/2p5/P2p2pP/R4bP1/2NQ4/1PP2P2/3Kq2R w - - 3 25,h1e1 e7e1,399,91,100,267,mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/7puRAwZg#49,,
00QkV,5k1r/p3Rpbp/3N2p1/4nbB1/2P5/3rP3/q4PPP/3Q1RK1 b - - 2 16,f7f6 e7e8,1047,77,100,851,mate mateIn1 middlegame oneMove,https://lichess.org/R69epPjY/black#32,Grunfeld_Defense Grunfeld_Defense_Three_Knights_Variation,
00RiT,8/pp1k1p2/4p3/2ppPr1r/5PpP/2P3P1/P1P5/2K1RR2 b - f3 0 22,g4f3 g3g4 f5e5 g4h5,1194,87,100,84,advantage endgame fork rookEndgame short,https://lichess.org/u5bDliJE/black#44,,
00Rk3,8/1p2rppk/5q1p/Q4R2/2P5/PP5P/5PP1/5rK1 w - - 0 32,g1f1 f6a1 a5e1 e7e1,941,76,100,410,endgame mate mateIn2 short,https://lichess.org/9ceeRcuK#63,,
00RvC,3r2k1/pp4q1/6P1/7Q/8/bP5P/P5P1/5R1K w - - 1 30,f1f7 g7a1 h1h2 a3d6 g2g3 d6g3 h2g2 d8d2,2364,77,100,221,crushing endgame veryLong,https://lichess.org/zj6fSS7Y#59,,
00TJN,r3r1k1/pp3pB1/2q3pp/3R1b2/8/P4Q2/BP3PPP/1R4K1 b - - 0 23,f5b1 f3f7 g8f7 d5d7,1801,74,100,578,attraction doubleCheck kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/G6iE2Sej/black#46,,
00TTm,r4b1r/pppqpkpp/6B1/7Q/2PP4/2N1P2P/PP4P1/R5K1 b - - 0 15,f7g8 g6f7,874,77,100,456,mate mateIn1 middlegame oneMove,https://lichess.org/KVkwZhJj/black#30,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
00UwP,5rk1/p4pp1/3qb2p/1B1p4/1r1P4/Q3PN2/P4PPP/2R3K1 b - - 5 19,b4b1 a3d6 b1c1 b5f1,1188,76,100,631,advantage master middlegame short,https://lichess.org/Py4RR2HF/black#38,,
00Vv9,5r1k/pp4pp/5r2/4Q3/3P4/4NpN1/Pq5P/2R2R1K w - - 0 29,e3d5 b2g2,910,75,100,172,mate mateIn1 middlegame oneMove,https://lichess.org/xX3emLRb#57,,
00WAp,r5k1/4p2p/p5p1/1p1b2Q1/2p5/P4qN1/1P3P2/R2R2Kr w - - 2 28,g3h1 f3h1,1002,77,100,487,mate mateIn1 middlegame oneMove,https://lichess.org/dTOmcRL9#55,,
00WZO,8/1R2B3/5p2/1k2bP1p/p6r/5K2/8/8 b - - 7 45,b5c4 b7b4 c4d5 b4h4,1129,76,100,808,crushing endgame short skewer,https://lichess.org/zw93HvDI/black#90,,
00WiZ,3r1rk1/p3R2p/bp1P2p1/2P5/7Q/P2q1P1P/6P1/2R3K1 b - - 5 34,b6c5 h4h7,607,78,100,212,mate mateIn1 middlegame oneMove,https://lichess.org/tGch7j6L/black#68,,
00XCT,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7,996,77,100,474,endgame equality queenRookEndgame short,https://lichess.org/I94rnuWS#163,,
00XL2,2kr3r/ppp3pp/6q1/3Pnp2/1PP1p3/7P/P2QNPP1/R4RK1 w - - 1 17,d2d4 e5f3 g1h1 f3d4,928,78,100,595,crushing middlegame pin short,https://lichess.org/WEWuNMx5#33,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
00Xn1,3r2k1/5pp1/2p3np/2b5/1p2P1b1/1BN3B1/1PP3PP/4KR2 w - - 0 21,c3a4 d8d1,555,86,100,345,master mate mateIn1 middlegame oneMove operaMate pillsburysMate,https://lichess.org/GK88IOTY#41,,
00Ycz,5k2/5r1p/pp2pQ2/8/8/1P6/P1q2PPP/4R1K1 w - - 1 32,f6e6 c2f2 g1h1 f2f1 e1f1 f7f1,1153,82,100,128,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/9BdeH5eE#63,,
00Yfr,5k2/1R4p1/p2bpr1p/3rN3/3P4/8/P1R2pPP/5K2 b - - 1 34,d6e5 c2c8 d5d8 c8d8,1113,77,100,142,endgame mate mateIn2 short,https://lichess.org/XhVkXtku/black#68,,
00YjD,8/8/2p5/5k2/3R2p1/1P1P2K1/2r5/8 w - - 0 38,d4c4 c2c4 d3c4 c6c5 b3b4 c5b4,2175,75,100,436,crushing endgame long quietMove rookEndgame,https://lichess.org/LDzUjuLQ#75,,
00Yqb,8/6k1/4p1pq/1p1pPp2/p2P1n2/2P1QN2/PP3PPP/5K2 w - - 4 39,g2g3 h6h3 f1e1 f4g2 e1d2 g2e3,1156,89,100,95,crushing endgame fork long,https://lichess.org/G6kGzZ13#77,,
00aU5,8/8/8/p3k2p/P1K4P/8/8/8 b - - 5 47,e5f4 c4b5 f4e5 b5a5,763,85,100,109,crushing endgame master pawnEndgame short,https://lichess.org/ScOVYXve/black#94,,
00ad3,2kr3r/ppp2p2/2nb1n1p/4q1p1/Q7/N1P1B3/PP2NPPP/R4RK1 w - - 2 13,a3c4 e5h2,653,79,100,117,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3V6Uwh23#25,Scandinavian_Defense Scandinavian_Defense_Portuguese_Gambit,
00awK,r5k1/2p2Qpp/p7/4b3/8/8/1PP1KR2/2q5 b - - 0 24,g8h8 f7f8 a8f8 f2f8,569,82,100,404,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/D9JaNyrl/black#48,,
00ax2,r1b2q1k/1pp3p1/1b1p3p/1p5Q/P1P1Bp2/3P4/6PP/5R1K b - - 1 23,f8f6 h5e8 f6f8 e8f8,638,79,100,210,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/zZGnME4m/black#46,,
00axT,3R4/8/8/5p2/8/3p3P/1k2rPP1/3K4 b - - 25 48,e2f2 d8d3 f2g2 d3d2 g2d2 d1d2,1645,75,100,1201,crushing endgame long master rookEndgame,https://lichess.org/g4Wa6pYc/black#96,,
00b3n,7R/1P3pk1/5rpp/8/8/4P1PK/4qPQP/8 w - - 7 41,b7b8q e2h5,1049,77,100,352,endgame mate mateIn1 oneMove,https://lichess.org/hrUTLnEO#81,,
00bFH,4r1k1/1q3ppp/3B1n2/p2P4/8/Pp3Q1P/5PPN/1R4K1 w - - 0 27,f3b3 e8e1 b1e1 b7b3,1821,85,100,107,deflection equality middlegame short,https://lichess.org/E8lzVecv#53,,
00bnX,4rr1k/ppp3pp/3b1p2/7Q/5q2/1PBB3P/P1P3P1/5RK1 b - - 13 26,f4g5 h5h7,706,77,100,106,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/cOFXbSU6/black#52,,
00cJo,2r3k1/5ppp/8/8/1P2p3/3bQpP1/1q1P1K1P/R1R5 b - - 1 30,c8c1 a1a8 c1c8 a8c8,904,78,100,316,backRankMate endgame mate mateIn2 short,https://lichess.org/al1h6dlT/black#60,,
00cl7,r5k1/ppp1p1b1/4N1Q1/3pq1Bp/7P/8/PPPN1rP1/2KR4 w - - 1 17,d2f3 e5b2,914,79,100,635,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/xfdgilVH#33,Pirc_Defense Pirc_Defense_Other_variations,
00coU,6k1/R7/5K2/1r6/5r2/p4N2/8/5R2 w - - 3 50,f6e7 f4f7 e7d6 f7a7,1418,76,100,780,crushing endgame short skewer,https://lichess.org/msAMDBoS#99,,
00d6g,r4n2/1p4pk/2p1R3/p2p1nPp/7P/3P1P1B/PP6/2K4R b - - 0 23,f8e6 h3f5 g7g6 f5e6,949,123,100,36,advantage endgame fork hangingPiece short,https://lichess.org/Fsjwwt2F/black#46,,
00dEJ,1br2rk1/ppqn2pp/4p3/1P6/P3B3/8/1B3PPP/R2Q1RK1 w - - 1 18,a1c1 c7h2,814,79,100,283,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/LD5Lwa2j#35,Polish_Opening Polish_Opening_Other_variations,
00dYE,7R/pp1n1p2/1kp1p3/3p4/5P2/2N1q3/PPP4Q/2K5 w - - 6 28,c1b1 e3e1 c3d1 e1d1,500,99,100,175,endgame mate mateIn2 short,https://lichess.org/4IFRxlwK#55,,
00dzT,6k1/1Q4p1/p1p4p/3pP3/P3bq2/2N4P/1P4PK/5B2 w - - 1 26,h2h1 f4f1 h1h2 f1g2,881,79,100,484,endgame hangingPiece mate mateIn2 short,https://lichess.org/Kxd5ijdt#51,,
00eNe,4r1k1/p1p2ppp/2p1r3/3q4/P2b4/1P1PB3/2Q2PPP/2R1R1K1 w - - 0 21,e3d4 e6e1 c1e1 e8e1,900,78,100,360,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/uH5mJi23#41,,
00eiu,r5k1/1b1pn1p1/1p5p/pq1PN2B/4P3/P6Q/6PP/R4r1K w - - 0 26,a1f1 b5f1,443,97,100,142,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/FN8YasJv#51,,
00f0m,7k/5r2/3p2p1/3Nb1qp/4P3/1P3Q1P/r5P1/5R1K w - - 0 37,f3f7 g5g2,667,83,100,71,endgame mate mateIn1 oneMove,https://lichess.org/oc2S1Yze#73,,
00f1Y,1r6/p2n1pkp/4p1p1/2Np4/1r6/1P1K1P1P/P3R1P1/2R5 b - - 5 36,b8c8 c5e6 f7e6 c1c8,1197,75,100,350,advantage discoveredAttack endgame short,https://lichess.org/5k1h2DTZ/black#72,,
00f9v,5rk1/2p3p1/1p1p4/3Pp2p/1PP1N1q1/3Qr2N/6PP/6K1 w - - 0 29,d3e3 g4d1 e3e1 d1e1,932,76,100,346,endgame mate mateIn2 short,https://lichess.org/WHRVbLDr#57,,
00fSz,rn1qk2r/ppp2ppp/3p2b1/2bP4/2P1n1P1/P1N1pP1P/1P2P1B1/R1BQK1NR w KQkq - 1 10,f3e4 d8h4 e1f1 h4f2,907,77,100,130,mate mateIn2 opening short,https://lichess.org/eA8X6sp6#19,Englund_Gambit_Declined Englund_Gambit_Declined_Other_variations,
00fpf,7r/pkp5/1pN1Q1rb/3p1n1q/3P4/2P3PN/PP4BP/5RK1 w - - 1 25,e6d5 h6e3 f1f2 h5d1,2098,75,100,179,advantage kingsideAttack middlegame pin short,https://lichess.org/AXqrgWpj#49,,
00ghH,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,691,77,100,1070,endgame mate mateIn2 short,https://lichess.org/ycQ7nVZM#77,,
00glf,3r2k1/R4p1p/6p1/2p5/P2b1B2/7P/2r2PP1/5RK1 b - - 0 25,d4f2 f1f2 d8d1 f2f1 d1f1 g1f1,1205,75,100,395,advantage endgame long,https://lichess.org/A1ka0Yxc/black#50,,
00iWt,8/pk5p/1pp1Q3/8/3R2P1/P1P1K2n/1qP2r2/8 b - - 1 35,b2c2 d4d7 b7a6 e6c4 b6b5 c4c6 a6a5 d7a7,1561,74,100,210,deflection endgame mate mateIn4 veryLong,https://lichess.org/jcy73kOF/black#70,,
00jUu,8/5ppk/p1Q4p/2R4P/1q2P3/5P2/1P4P1/1K1n4 w - - 2 45,c5c1 b4b2,617,82,100,332,endgame master mate mateIn1 oneMove,https://lichess.org/ZhzdgIpD#89,,
00jhH,r7/2p1kp2/3p1np1/1p2p1N1/4P3/2PP2P1/1P2Q1PK/8 w - - 4 29,e2f2 f6g4 h2g1 g4f2,917,76,100,246,crushing endgame fork short,https://lichess.org/AXtraot9#57,,
00kq8,5Qk1/2R2pp1/7p/q2p4/2n5/7P/4RPP1/6K1 b - - 0 34,g8f8 c7c8 a5d8 c8d8,797,82,100,42,endgame mate mateIn2 short,https://lichess.org/e2Z8xhZe/black#68,,
00lhe,r2q1b1k/ppp3Bp/3pPp2/2n1n3/4P2P/1B3P2/PPP3Q1/2K3RR b - - 0 23,f8g7 g2g7,399,109,100,239,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Yx9AyNPB/black#46,,
00mAw,8/2p3p1/2p2k2/6p1/P5P1/3P1K1p/2P5/8 b - - 0 42,f6e5 a4a5 e5e6 a5a6 h3h2 f3g2,1618,81,100,84,endgame,https://lichess.org/m9mYwFoA/black#84,,
00mLm,4Q1nk/p5bp/3P2p1/4p3/4Pq2/1B5P/6P1/7K b - - 2 35,g7h6 e8g8,706,81,100,119,endgame mate mateIn1 oneMove,https://lichess.org/dfm56Es7/black#70,,
