PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
05JWm,r1r4k/4pQ1p/3p1bp1/8/1P2P3/5N2/B4PPP/R1q3K1 w - - 0 23,a1c1 c8c1 f3e1 c1e1,519,86,100,234,backRankMate mate mateIn2 middlegame short,https://lichess.org/1muNF9Xh#45,,
05Jkf,8/3R4/6pP/5pP1/5P2/4r1k1/8/6K1 w - - 1 61,h6h7 e3e1,490,101,100,279,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/0DFzq5lg#121,,
05Jvu,3qk1nr/1b1p1pp1/p2Pp3/1p1P3p/5B2/2rB1QP1/PP3P1P/R3R1K1 w k - 0 17,d5e6 b7f3 e6d7 e8d7,934,77,100,586,advantage hangingPiece middlegame short,https://lichess.org/LlIkzMXX#33,Sicilian_Defense Sicilian_Defense_Old_Sicilian,
05KPy,r4r1k/ppp2p1p/2nq1N2/2b1p1NQ/2b1P3/3P3P/PPP3P1/R3K2R b KQ - 1 14,d6f6 h5h7,780,82,100,62,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/m7pMGtpG/black#28,Vienna_Gambit_with_Max_Lange_Defense Vienna_Gambit_with_Max_Lange_Defense_Other_variations,
05Kna,r3r1k1/6pp/2p3q1/pp6/4b3/4B2P/1PP2PP1/R2QR1K1 w - - 2 24,c2c3 g6g2,568,96,100,395,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Kd669rmn#47,,
05LI1,5r2/pp2p1kp/3p2p1/3P4/4P3/P1N4n/1P4PP/2Q2RqK w - - 4 24,f1g1 h3f2,899,77,100,199,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/6WvFlb5T#47,,
05LgI,8/1p3rpk/p2p1qp1/3Q2b1/2P5/1P2p3/P3R1PP/4R1K1 w - - 8 33,d5e4 f6f2 e2f2 e3f2,1279,76,100,607,advancedPawn crushing endgame sacrifice short,https://lichess.org/VSDt8jCw#65,,
05M6A,r4r1k/pp4p1/n1p5/2P1p1R1/1PB1P2n/7P/P1Q1Nq2/7K b - - 1 34,f8f3 g5h5,992,76,100,298,mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/fDKkBos5/black#68,,
05MF7,5k2/1p4pB/1p3p2/4p3/7P/2P1nP1n/PP4r1/NR5K w - - 1 30,b1e1 h3f2,1117,78,100,167,endgame master mate mateIn1 oneMove,https://lichess.org/VVAWJBQI#59,,
05NVJ,6n1/1p3pkp/n1p3p1/p3NNQ1/P3P3/7P/1q3PPK/8 b - - 3 25,g7f8 g5d8,1377,74,100,1133,endgame mate mateIn1 oneMove,https://lichess.org/rgSESkVL/black#50,,
05NtB,8/8/3R4/6k1/8/4P2p/r4P2/5K2 w - - 2 51,d6d8 a2a1 f1e2 h3h2,1607,77,100,862,advancedPawn crushing endgame rookEndgame short,https://lichess.org/rDwE5dIp#101,,
05NwY,6k1/5ppp/4pb2/2p5/2P1r3/P2RP2P/6P1/B5K1 b - - 0 29,f6a1 d3d8,618,86,100,79,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/M3b1iZyV/black#58,,
05OR9,6k1/pb3pp1/5n1p/q1p1B3/1pP2N2/1P3P1P/P1B3P1/3R2K1 b - - 2 24,a5a2 d1d8 f6e8 d8e8,711,100,100,20,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/nlIi4vDR/black#48,,
05Oau,r2q1rk1/1pp2p2/p1np3Q/2bnp1N1/4P3/P2P4/1PP2PPP/R3K2R b KQ - 1 13,d8f6 h6h7,917,77,100,244,mate mateIn1 middlegame oneMove,https://lichess.org/FmceHHNJ/black#26,Italian_Game Italian_Game_Giuoco_Pianissimo,
05PRU,6k1/p1q2ppp/1p1bpB2/8/7Q/1P2Pb2/P2N1PPP/6K1 w - - 0 24,d2f3 c7c1 f3e1 c1e1,603,79,100,114,endgame mate mateIn2 short,https://lichess.org/plr9MVGw#47,,
05Qjp,8/8/8/2pK4/1kP5/8/8/3n1B2 w - - 3 56,f1e2 d1c3 d5e6 c3e2,856,75,100,109,crushing endgame fork short,https://lichess.org/6CsPo63t#111,,
05Qqv,4rbk1/5pp1/2P5/p2P4/1q2r3/1P4PP/P2R1P2/2RQ2K1 w - - 1 32,d2c2 e4e1 g1h2 e1d1,907,82,100,51,advantage fork middlegame short,https://lichess.org/gTz0nPbU#63,,
05R0l,rqb2k1r/1p2nppp/3p4/1B2N3/4P3/8/PP2QPPP/R2R2K1 b - - 0 16,d6e5 d1d8,556,99,100,246,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/el7C0GZT/black#32,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted,
05R3P,r1bq1rk1/pp3ppp/8/3pP3/6n1/1B6/PPP3PP/RNBQR1K1 w - - 1 12,h2h3 d8b6 g1h1 g4f2 h1h2 f2d1,1169,82,100,54,advantage fork long opening,https://lichess.org/ed1v0bf8#23,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,
05R5E,8/8/p7/8/2k5/8/1P3K2/8 w - - 1 45,f2e2 c4b3 e2d3 a6a5 d3d2 b3b2,1906,75,100,219,crushing endgame long pawnEndgame quietMove,https://lichess.org/6kLsSwWn#89,,
05RQN,r3r1k1/1b1nqpp1/4p2p/p2pP1NQ/1p5P/2P5/PPB2PP1/R3R1K1 b - - 1 21,h6g5 h5h7 g8f8 h7h8,765,82,100,896,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/LagWXP5z/black#42,,
05RnX,r4rk1/pp3ppp/2bb4/3p3q/8/4PN2/PP3PPP/1BRQ1RK1 w - - 2 17,f3d4 h5h2,1023,77,100,171,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Qt9Wxmnf#33,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation,
05SRy,2r1r1k1/1p1q1pbp/p2p1np1/P2P2B1/2pQP3/2N2P1P/1P4P1/R3R1K1 b - - 1 19,d7c7 g5f6 g7f6 d4f6,977,79,100,172,advantage middlegame short,https://lichess.org/xlPl2wap/black#38,,
05SaQ,rn2r1k1/1b1n1ppp/ppqPp3/2p5/P1B5/3P1NB1/1PP3PP/R2Q1RK1 w - - 1 16,f3g5 c6g2,520,87,100,236,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/a5GxwTmj#31,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,
05Sf0,6k1/B1p2p1p/2p1q1p1/1p6/5P1Q/2P4P/2b3P1/6K1 b - - 1 28,e6f5 h4d8 g8g7 a7d4 f7f6 d8e7,1403,75,100,584,crushing endgame long,https://lichess.org/2CiQQ3JN/black#56,,
05Sua,3r2k1/pp3pp1/2b4p/7q/4p3/Q3P1P1/PP3PBP/2R3K1 w - - 0 25,a3a7 d8d1 g2f1 d1c1 a7b8 g8h7,1177,76,100,94,crushing endgame long,https://lichess.org/FxpS3pxw#49,,
05Sv2,5q1k/1p4p1/p1p2r1p/6b1/3PQ3/1BP5/P5PP/4R1K1 w - - 12 35,e4e8 f6f1 e1f1 f8e8,1501,77,100,877,crushing deflection endgame short,https://lichess.org/WLNoqonj#69,,
05Syx,6r1/pp3prk/1bpp4/8/1P1Pn1q1/P2B2B1/3Q1PK1/R4R2 b - - 1 28,h7h8 f1h1 g7h7 h1h7 h8h7 a1h1,1636,75,100,588,attraction crushing exposedKing kingsideAttack long middlegame pin,https://lichess.org/LjiwhGWo/black#56,,
05Tkd,1Q6/2K5/k4p2/6pp/8/6P1/3p2P1/8 b - - 0 53,d2d1q b8b6,988,77,100,431,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/oPJ21iIr/black#106,,
05UEq,1Q5k/pp3Bp1/7p/2q5/3n2n1/8/P4PPP/6K1 b - - 2 28,h8h7 b8g8,829,83,100,116,endgame mate mateIn1 oneMove,https://lichess.org/GeMIjjy1/black#56,,
05Us4,8/8/6P1/p1p2N2/3bpK2/3k4/P7/8 b - - 1 43,c5c4 f5d4 d3d4 g6g7 c4c3 g7g8q,1219,76,100,144,endgame,https://lichess.org/xSfRlbAa/black#86,,
05V0f,kQ4rr/pp6/N4b2/5P2/3p4/Pq3NP1/1P4KP/1RB4R b - - 8 35,g8b8 a6c7,928,78,100,139,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/OSQgK15p/black#70,,
05V6Z,8/6pk/1QN1ppq1/pP1bP2p/P6P/4R3/5P2/6K1 w - - 1 36,e3g3 g6b1 g1h2 b1h1,927,76,100,388,endgame mate mateIn2 short,https://lichess.org/L7FzamEF#71,,
05Vrb,6r1/p1p4k/5P1p/5R1P/2B2RK1/1P4P1/3r4/8 w - - 3 37,g4h4 d2h2,697,82,100,136,endgame master mate mateIn1 oneMove,https://lichess.org/T2HTELuP#73,,
05W1D,1rr3Qk/6pp/7N/q4p2/6bb/P2PP1P1/5P1P/2B2KR1 b - - 7 28,c8g8 h6f7,833,87,100,564,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/7h3ODFmD/black#56,,
05WG0,r2q1rk1/pp3ppp/8/5b2/2Pb1Pn1/PNNp3P/1P1P2PK/RQB2R2 w - - 3 18,h3g4 d8h4,722,77,100,233,mate mateIn1 middlegame oneMove,https://lichess.org/YI1PQYLU#35,Scandinavian_Defense Scandinavian_Defense_Panov_Transfer,
05WPb,rn2k2r/pp2ppbp/3p4/4qP2/6n1/3B4/PPP1N1PP/R1BQK2R w KQkq - 5 12,e1g1 e5h2,748,84,100,385,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/2mhNwNJf#23,Sicilian_Defense Sicilian_Defense_Dragon_Variation,
05XG4,8/5kpp/5p2/BR6/1Ppb4/8/P1Pr2bP/6RK w - - 0 35,g1g2 d2d1 g2g1 d1g1,764,76,100,223,endgame mate mateIn2 operaMate short,https://lichess.org/Zy8QlYOL#69,,
05XPR,5r1k/pp1b2p1/3b2B1/3p4/3Q4/1PB2qP1/P6P/4R1K1 b - - 6 32,d6g3 d4g7,943,86,100,108,mate mateIn1 middlegame oneMove,https://lichess.org/7RxvUoQq/black#64,,
05Xzn,6k1/1pq2pp1/2p1r2p/p2pr3/P7/1BP2Q1P/1PPR1PP1/5RK1 w - - 1 25,f1d1 e5e1 d1e1 e6e1,653,89,100,126,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/1FBbovl9#49,,
05YXU,4r1k1/p4ppp/Q2b1n2/1N1p4/8/7P/PB3PPq/R4K2 w - - 6 21,a6d6 h2h1,980,76,100,229,mate mateIn1 middlegame oneMove,https://lichess.org/4TyldeEj#41,,
05ZNx,7k/1b4p1/1p2Q2p/2p2P2/1P4q1/3R4/5P1P/6K1 w - - 4 37,d3g3 g4d1 e6e1 d1e1,805,80,100,71,endgame mate mateIn2 short,https://lichess.org/ODz7VdZf#73,,
05Zku,r3rk2/pp3bp1/2p5/4NQ2/3P1B1q/b3PP1P/6P1/2R2K2 b - - 1 25,h4f6 e5d7 f8g8 d7f6,1043,75,100,182,advantage fork middlegame short,https://lichess.org/lwHp5Co0/black#50,,
05Zte,6k1/6p1/7p/R6Q/4p3/q5PP/P4r2/6K1 b - - 2 44,a3b2 h5d5 f2f7 a5a8 g8h7 d5f7,2482,75,100,188,crushing deflection endgame long,https://lichess.org/3ujENxPS/black#88,,
05ac2,R1b1r3/1p3k2/2p2Np1/5q2/1PP3p1/2Q1P1Pp/5P1P/6K1 w - - 4 27,f6e8 f5b1 c3c1 b1c1,903,76,100,316,endgame mate mateIn2 short,https://lichess.org/vw4E1RV7#53,,
05b0P,4rk2/pp2rpp1/2p4p/3p4/3PnN2/6PP/PPP1R1PK/5R2 b - - 6 23,e4g3 f4g6 f8g8 g6e7 e8e7 e2e7,1783,75,100,2484,advantage endgame long pin,https://lichess.org/fcGa3frY/black#46,,
05bZ1,5qk1/3r1p1p/4p1p1/p7/5P2/1R6/4KP1P/Q7 b - - 1 38,f8c5 b3b8 c5f8 b8f8,786,80,100,130,advantage endgame short,https://lichess.org/ewDzOaHY/black#76,,
05c4u,2k4r/ppp2Qpp/4p3/8/1bP5/1PN3P1/P3KPq1/3R4 b - - 0 18,b4c3 f7d7 c8b8 d7d8 h8d8 d1d8,1143,76,100,340,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/q1AOSyUr/black#36,Scandinavian_Defense Scandinavian_Defense_Portuguese_Gambit,
05cRc,r1b2k1r/Bp3pp1/p6p/8/QPP2P2/3p4/P5PP/qN2R1K1 b - - 0 18,a8a7 e1e8,888,119,100,33,mate mateIn1 middlegame oneMove,https://lichess.org/YjlxR4xZ/black#36,Ruy_Lopez Ruy_Lopez_Bird_Variation,
05dW6,r2k1Q1r/ppp1n1p1/4P2p/4n3/1qB1P3/8/PP1N2PP/R1B2RK1 b - - 2 15,h8f8 f1f8,417,92,100,273,mate mateIn1 middlegame oneMove,https://lichess.org/qZI1w8E2/black#30,Kings_Gambit Kings_Gambit_Other_variations,
500,2r3k1/1R3ppp/p7/2R5/P7/5P1P/5P2/6K1 b - - 0 29,c8c5 b7b8 c5c8 b8c8,899,169,100,40,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/ZuPA2qIW/black#58,,
05ejA,k2r3r/ppp3pp/2R2p2/3q1b2/Q7/4BN2/P4PPP/1R4K1 b - - 0 17,d5c6 a4a7,807,76,100,412,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/q2u4wDSY/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Chigorin_Defense,
05ejd,2r2rk1/pb2bp1p/1p1p2p1/2pP4/4P1q1/1PQ5/PB3PNP/R4R1K b - - 1 21,g4e4 c3g7,484,87,100,173,mate mateIn1 middlegame oneMove,https://lichess.org/HfpyELIs/black#42,,
05fKp,4r1k1/1p3ppp/p2q4/3B2PP/8/4bQ2/8/5K2 b - - 0 40,e3g5 f3f7 g8h8 f7e8 d6f8 e8f8,1041,78,100,357,endgame fork long mate mateIn3,https://lichess.org/m3IvvOzT/black#80,,
05fYZ,br4k1/6pp/4p3/5p2/1B4PP/P3q3/5R1K/5R2 b - - 0 30,f5g4 f2f8 b8f8 f1f8,928,112,100,30,endgame mate mateIn2 short,https://lichess.org/oU64ySem/black#60,,
05flI,8/8/3K2p1/pkP4p/1P6/8/8/8 b - - 1 59,a5b4 c5c6 b4b3 c6c7,407,103,100,183,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/4emwXxLP/black#118,,
05hU2,7k/6p1/6K1/RP2rN2/p7/6P1/r7/8 b - - 2 56,e5f5 a5a8 f5f8 a8f8,1324,75,100,885,endgame mate mateIn2 rookEndgame short,https://lichess.org/H6SaWHep/black#112,,
05hup,r7/1p4pp/2bk4/P2pp3/1Pp5/2P5/2K3PP/3RR3 w - - 0 31,e1f1 c6a4 c2d2 a4d1,804,78,100,375,advantage endgame short skewer,https://lichess.org/XpJvbFpu#61,,
05iFh,r5k1/p1R2pp1/1p1p2np/1P6/3qPP2/3B2P1/Q6P/7K b - - 2 25,d4d3 a2f7 g8h8 f7g7,1037,76,100,233,endgame fork mate mateIn2 short,https://lichess.org/EMTUAeoj/black#50,,
05iRm,8/6p1/2p5/4R3/8/8/kp1K4/8 w - - 0 43,e5a5 a2b3 a5a7 b2b1q a7b7 b3a2,1443,75,100,272,advancedPawn crushing defensiveMove endgame long promotion rookEndgame,https://lichess.org/aafHdCdj#85,,
